source,model,dataset,subject_id,seed,preprocess,bandpass,notch,car,ica,baseline,residual,l_freq,h_freq,test_accuracy,test_macro_f1,val_best_accuracy,num_epochs,params_total,duration_sec,run_id
ablation,DiffE_mod,BCI,,21,1,1,1,1,0,1,0,0.5,125,0.224,0.22422423034725222,0.252,50,183566,126.39338946342468,20250824_125533_fa4bfb7c
ablation,DiffE_TF,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.196,0.15053700450940105,0.24,50,842572,147.406635761261,20250824_125545_2b1cd4ef
ablation,DiffE_TF,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.32266666666666666,0.30795494870056633,0.308,50,842572,147.83330655097961,20250824_125612_89a4127d
ablation,DiffE_mod,BCI,,21,1,0,1,1,1,1,0,0.5,125,0.21733333333333332,0.19673986368216223,0.25733333333333336,50,183566,126.75825572013855,20250824_125613_7a9fbc8b
ablation,DiffE_mod,BCI,,21,1,1,1,0,1,1,0,0.5,125,0.216,0.21586610415320862,0.2613333333333333,50,183566,126.04089260101318,20250824_125659_3dccabf0
ablation,DiffE_TF,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.19466666666666665,0.1916352831694696,0.228,50,842572,151.58481812477112,20250824_125701_34bbbaff
ablation,DiffE_TF,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.20533333333333334,0.1870881925433602,0.228,50,842572,146.6779248714447,20250824_125711_fde1290f
ablation,DiffE_TF,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.30533333333333335,0.3013542560728354,0.3466666666666667,50,842572,147.74556589126587,20250824_125724_63c064f7
ablation,DiffE_TF,BCI,,7,1,0,0,0,0,1,0,0.5,125,0.18,0.13076564701395196,0.21866666666666668,50,842572,146.95429015159607,20250824_125735_3e587bfd
ablation,DiffE_TF,BCI,,21,1,0,0,1,0,0,0,0.5,125,0.316,0.3077300936064056,0.31866666666666665,50,842572,148.66328263282776,20250824_125824_ebef09e1
ablation,DiffE_TF,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.188,0.1024033066155289,0.236,50,842572,148.73183274269104,20250824_125826_0c8f74c2
ablation,DiffE_TF,BCI,,7,1,1,0,1,1,1,0,0.5,125,0.20666666666666667,0.14394865973298032,0.23066666666666666,50,842572,147.86453342437744,20250824_125850_011cdf46
ablation,DiffE_TF,BCI,,7,1,0,1,0,0,0,0,0.5,125,0.316,0.30929465449065113,0.31333333333333335,50,842572,146.30823230743408,20250824_125902_9cc9ac37
ablation,DiffE_TF,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.17333333333333334,0.14234371281279207,0.22933333333333333,50,842572,149.80560851097107,20250824_125907_9d2b3f27
ablation,DiffE_TF,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.192,0.11680857137390341,0.22933333333333333,50,842572,150.11453652381897,20250824_125954_abda204b
ablation,DiffE_TF,BCI,,7,1,1,0,0,0,0,0,0.5,125,0.20933333333333334,0.13630949842809784,0.22666666666666666,50,842572,148.9088146686554,20250824_125954_9662f67a
ablation,DiffE_TF,BCI,,7,1,0,0,0,1,0,0,0.5,125,0.30666666666666664,0.30486137578543454,0.30133333333333334,50,842572,146.47918128967285,20250824_130014_1ecec99c
ablation,DiffE_TF,BCI,,7,1,1,1,1,1,0,0,0.5,125,0.19066666666666668,0.18293270667950975,0.22533333333333333,50,842572,147.28347396850586,20250824_130014_5f002818
ablation,DiffE_TF,BCI,,21,1,0,0,0,0,1,0,0.5,125,0.18,0.1387052862436191,0.21733333333333332,50,842572,146.7028844356537,20250824_130026_eeef4c74
ablation,DiffE_TF,BCI,,7,1,1,1,1,0,1,0,0.5,125,0.18666666666666668,0.12307605439154463,0.236,50,842572,149.62108039855957,20250824_130120_874e7d80
ablation,DiffE_TF,BCI,,21,1,0,1,0,0,0,0,0.5,125,0.32133333333333336,0.3108391186006156,0.30933333333333335,50,842572,146.7617061138153,20250824_130153_dbdbfd1f
ablation,DiffE_TF,BCI,,21,1,1,0,1,1,1,0,0.5,125,0.208,0.15246041519829667,0.232,50,842572,147.1172444820404,20250824_130153_b51d3625
ablation,DiffE_TF,BCI,,7,1,0,1,1,1,1,0,0.5,125,0.20666666666666667,0.15220267699040432,0.228,50,842572,150.16836023330688,20250824_130202_99ba8d46
ablation,DiffE_TF,BCI,,21,1,1,0,0,0,0,0,0.5,125,0.22,0.17919063589678969,0.24666666666666667,50,842572,149.64351892471313,20250824_130249_7585b763
ablation,DiffE_TF,BCI,,7,1,1,1,0,1,1,0,0.5,125,0.18533333333333332,0.15327766813051827,0.23466666666666666,50,842572,150.04911732673645,20250824_130249_0ed94a5c
ablation,DiffE_TF,BCI,,21,1,0,0,0,1,0,0,0.5,125,0.33066666666666666,0.31480171592722694,0.28933333333333333,50,842572,146.30605959892273,20250824_130305_ba959a5c
ablation,DiffE_TF,BCI,,21,1,1,1,1,1,0,0,0.5,125,0.19866666666666666,0.18686478019916514,0.22533333333333333,50,842572,147.13937544822693,20250824_130317_8bb052e4
ablation,DiffE_TF,BCI,,21,1,1,1,1,0,1,0,0.5,125,0.21066666666666667,0.12706990170280033,0.23066666666666666,50,842572,149.63770985603333,20250824_130414_15f4a23f
ablation,DiffE_TF,BCI,,21,1,0,1,1,1,1,0,0.5,125,0.20933333333333334,0.15324029950404736,0.21466666666666667,50,842572,149.48844623565674,20250824_130455_4df70b36
ablation,DiffE_AT,BCI,,42,1,0,0,1,0,0,0,0.5,125,0.544,0.5418104098986306,0.548,50,3285302,401.1545298099518,20250824_130541_c789826a
ablation,DiffE_TF,BCI,,21,1,1,1,0,1,1,0,0.5,125,0.19066666666666668,0.11363082701131835,0.22533333333333333,50,842572,147.76357173919678,20250824_130542_161ea534
ablation,DiffE_AT,BCI,,42,1,0,0,0,0,1,0,0.5,125,0.22266666666666668,0.21518855055167085,0.256,50,3285302,398.9257128238678,20250824_130729_df71804d
ablation,DiffE_AT,BCI,,42,1,0,1,0,0,0,0,0.5,125,0.5373333333333333,0.5361997550609092,0.5453333333333333,50,3285302,395.04694747924805,20250824_130851_5a3d3467
ablation,DiffE_AT,BCI,,42,1,1,0,1,1,1,0,0.5,125,0.212,0.20994408529338635,0.252,50,3285302,397.1959915161133,20250824_130905_cd546de9
ablation,DiffE_AT,BCI,,42,1,1,0,0,0,0,0,0.5,125,0.28,0.27910699352665536,0.304,50,3285302,402.6627678871155,20250824_130957_ad096111
ablation,DiffE_AT,BCI,,42,1,0,0,0,1,0,0,0.5,125,0.5173333333333333,0.5163560179474759,0.536,50,3285302,399.6049520969391,20250824_131009_f27e2927
ablation,DiffE_AT,BCI,,42,1,1,1,1,1,0,0,0.5,125,0.296,0.285812491829723,0.288,50,3285302,395.85015845298767,20250824_131027_e33fad0f
ablation,DiffE_AT,BCI,,42,1,1,1,1,0,1,0,0.5,125,0.20533333333333334,0.1989304295638819,0.256,50,3285302,396.674733877182,20250824_131114_00135626
ablation,DiffE_AT,BCI,,42,1,0,1,1,1,1,0,0.5,125,0.2,0.1977502637332324,0.2613333333333333,50,3285302,400.3115918636322,20250824_131200_ff6a60b0
ablation,DiffE_AT,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.23866666666666667,0.23405878740138322,0.24533333333333332,50,3285302,403.0349907875061,20250824_131249_2ee8cb91
ablation,DiffE_AT,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.5333333333333333,0.5325256812402588,0.5653333333333334,50,3285302,403.09140634536743,20250824_131259_a96f16c6
ablation,DiffE_AT,BCI,,7,1,0,0,0,0,1,0,0.5,125,0.208,0.19361213042182315,0.24,50,3285302,398.1312954425812,20250824_131431_fd1b89ff
ablation,DiffE_AT,BCI,,7,1,0,1,0,0,0,0,0.5,125,0.5586666666666666,0.5589047731657186,0.56,50,3285302,396.91656017303467,20250824_131552_68a5925a
ablation,DiffE_AT,BCI,,7,1,1,0,1,1,1,0,0.5,125,0.23333333333333334,0.228749854202222,0.256,50,3285302,399.2623896598816,20250824_131620_05ac68ce
ablation,DiffE_AT,BCI,,7,1,1,0,0,0,0,0,0.5,125,0.272,0.26124515343436805,0.30266666666666664,50,3285302,400.87387228012085,20250824_131702_2772c00c
