channel,gradxinput_mean
0,0.0017614009557291865
1,0.002261560643091798
2,0.002200619550421834
3,0.0018658165354281664
4,0.0013504415983334184
5,0.00205644266679883
6,0.0019052857533097267
7,0.0017851797165349126
8,0.0008426492568105459
9,0.0018632066203281283
10,0.0015135104767978191
11,0.0018765005515888333
12,0.002438932191580534
13,0.001115766353905201
14,0.0010708520421758294
15,0.0016400812892243266
16,0.0012679299106821418
17,0.0019801699090749025
18,0.000692608708050102
19,0.0006476425332948565
20,0.0015719608636572957
21,0.0016917719040066004
22,0.0008461374090984464
23,0.0017535804072394967
24,0.0006323668058030307
25,0.0012726493878290057
26,0.0010704314336180687
27,0.0016742346342653036
28,0.0009970383252948523
29,0.001940519898198545
30,0.0010168724693357944
31,0.0019869967363774776
32,0.001986523624509573
33,0.0024815534707158804
34,0.001306043122895062
35,0.0025118375197052956
36,0.002203357173129916
37,0.001135065220296383
38,0.002329933689907193
39,0.0014425978297367692
40,0.001985618844628334
41,0.001841386896558106
42,0.0009891340741887689
43,0.0009838485857471824
44,0.0027989365626126528
45,0.0014931634068489075
46,0.0017561335116624832
47,0.0030694431625306606
48,0.0012043030001223087
49,0.0012485309271141887
50,0.004174318164587021
51,0.001116174622438848
52,0.0003611709107644856
53,0.0017251940444111824
54,0.0015321889659389853
55,0.0007410959806293249
56,0.0015018314588814974
57,0.0012936952989548445
58,0.0017538609681650996
59,0.002896955469623208
60,0.0011957925744354725
61,0.001711660297587514
62,0.0012330320896580815
63,0.0014459058875218034
