channel,kw_min_p,kw_eta2_from_maxH,mi_sum,MI_BP_0.0-1.0Hz,MI_BP_0.5-4.0Hz,MI_BP_4.0-8.0Hz,MI_slope,MI_offset,kw_p_adj,kw_significant
55,2.9489999160521367e-09,0.14109823000544372,0.33562545522864706,0.13922887238828707,0.0,0.0,0.07905531456769532,0.11734126827266467,1.8873599462733675e-07,True
13,1.0311867523547237e-08,0.13222812095275652,0.3105712440909172,0.06868140768844988,0.03557356359273589,0.040643938683671,0.03863969573962045,0.12703263838643997,2.1998650716900772e-07,True
23,7.376855893942405e-09,0.13460370516357956,0.3030770248102286,0.11433064600256726,0.0165515909656877,0.0,0.05453865584723072,0.1176561319947429,2.1998650716900772e-07,True
2,4.364462454302833e-08,0.12197487095744869,0.1726158932999753,0.10833635029024524,0.0,0.04201067568803474,0.0,0.022268867321695307,6.983139926884533e-07,True
48,7.914704772838875e-08,0.11773434690391726,0.4142237896176004,0.07595205102407165,0.10278013060677482,0.05774951714005816,0.027964027530881008,0.14977806331581478,1.013082210923376e-06,True
52,1.6852266736988255e-07,0.1123403645100136,0.25726719324635816,0.11495426915788087,0.07842774249945395,0.005937161781727873,0.05142373360215613,0.00652428620513934,1.540778673096069e-06,True
47,1.646172842010415e-07,0.1125078814497818,0.20583499630204738,0.04946486104698877,0.07443958592461986,0.0,0.03278934064928629,0.04914120868115246,1.540778673096069e-06,True
22,5.987874901339919e-07,0.1032644781049982,0.18174141685872103,0.053300801311034096,0.0,0.0,0.027997976472922126,0.1004426390747648,4.790299921071935e-06,True
4,8.161459527574338e-07,0.1010418904968377,0.23982652028981377,0.06872332112696267,0.039296559108501494,0.0,0.07079725535321924,0.061009384701130376,5.803704552941752e-06,True
8,2.4100004463407054e-06,0.09325121159224443,0.42031821224164156,0.06008423311233191,0.08561069966343071,0.09562227786271826,0.069183095711423,0.10981790589173768,1.5424002856580515e-05,True
20,3.81527873826996e-06,0.0899359047994448,0.15958754550751175,0.04555831452203085,0.02109210454877042,0.022230840160739618,0.0,0.07070628627597086,2.219798538629795e-05,True
18,7.638217182804686e-06,0.08491379019088928,0.09760193368963144,0.0352732053324325,0.059618032863679726,0.0,0.0,0.0027106954935192107,4.073715830829166e-05,True
51,8.728383266282062e-06,0.08394669369521603,0.053430298731134585,0.0,0.008871966453873448,0.0,0.0,0.04455833227726114,4.2970502234003995e-05,True
